ID,smiles,toxic,FormalCharge,TPSA,MolWt,HeavyAtoms,NHOH,HAcceptors,HDonors,Heteroatoms,AromaticRings,SaturatedRings,AromaticOH,AromaticN,LogP
25240058,CC(C)OC(=O)OC(C)OC(=O)C1=C(CS[C@H]2N1C(=O)[C@H]2NC(=O)/C(=N\OC)/c3csc(n3)N)COC,0,0,180.97,557.607,37,3,14,2,16,1,1,0,1,0.827
25240059,CC(C)[NH2+]C[C@@H](COc1ccc(cc1)CCOCC2CC2)O,0,1,55.3,308.442,22,3,3,2,4,1,1,1,0,1.3672
25240060,CCCCCCOC(=O)/[NH+]=C(\c1ccc(cc1)NCc2nc3cc(ccc3n2C)C(=O)N(CCC(=O)OCC)c4ccccn4)/N,0,1,155.64,628.754,46,4,9,3,12,4,0,0,3,3.6832
25240061,CCn1cc(c(=O)c2c1nc(cc2)C)C(=O)[O-],0,-1,75.02,231.231,17,0,5,0,5,2,0,0,2,0.08832
25240062,c1cc2c(cc1Cl)[C@@](OC(=O)N2)(C#CC3CC3)C(F)(F)F,0,0,38.33,315.678,21,1,2,1,7,1,1,0,0,4.0731
25240063,c1ccc(cc1)CCNN,0,0,38.05,136.198,10,3,2,2,2,1,0,0,0,0.6924
25240064,c1ccc(cc1)C(=O)[O-],0,-1,40.13,121.115,9,0,2,0,2,1,0,0,0,0.0501
25240065,CC(Cc1ccc2c(c1)OCO2)[NH2+]CC(c3ccc(c(c3)O)O)O,0,1,95.76,332.376,24,5,5,4,6,2,0,1,0,1.0545
25240066,CC1(C2CCC(C2)C1(C)[NH2+]C)C,0,1,16.61,168.304,12,2,0,1,1,0,2,0,0,1.3944
25240067,CCN(CC)CCS(=O)(=O)[C@@H]1CCN2C1C(=O)O[C@@H]([C@@H](/C=C/C(=O)NC/C=C/C(=C/[C@H](CC(=O)Cc3nc(co3)C2=O)O)/C)C)C(C)C,0,0,176.42,690.86,48,2,11,2,14,1,1,1,1,2.2693
25240068,CCCCCCCCCCCC(=O)OCCNC(=O)C[n+]1ccccc1,0,1,59.28,363.522,26,1,3,1,5,1,0,0,1,3.5544
25240069,c1cc(c2c3c1C[C@@H]4[C@]5([C@]3(CC[NH+]4CC6CC6)[C@@H](O2)C(=O)CC5)O)O,0,1,71.2,342.415,25,3,4,3,5,1,3,1,0,0.1083
25240070,c1ccc(cc1)CSCC2=NS(=O)(=O)c3cc(c(cc3N2)Cl)S(=O)(=O)N,0,0,118.69,431.948,26,3,6,2,11,2,0,0,0,2.4335
25240071,CCC(=O)O[C@H]1[C@H](C[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(C[C@@H]([C@H](C4)OC(=O)C)[NH+]5CCCCC5)C)C)[N+]6(CCCCC6)CC=C,0,2,57.04,598.913,43,1,4,1,6,0,6,0,0,5.4951
25240072,C[C@@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@H]1C(=O)COC(=O)C(C)(C)C)C)O)Cl)C)F,0,0,80.67,495.031,34,1,5,1,7,0,3,1,0,4.5951
25240073,CCCCc1[nH+]cc(n1Cc2ccc(cc2)C(=O)[O-])/C=C(\Cc3cccs3)/C(=O)[O-],0,-1,99.33,423.514,30,1,6,0,7,3,0,0,2,1.4941
25240074,C[NH2+]CCCC12CCC(c3c1cccc3)c4c2cccc4,0,1,16.61,278.419,21,2,0,1,1,2,0,0,0,3.1852
25240075,CCC1=C[C@H]2C[C@@](C3=C(CN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC,1,0,133.87,778.947,57,2,11,2,12,3,2,1,1,4.7536
25240076,C1=CC(=C(C=C1Cl)Cl)C(=O)NS(=O)(=O)C2=CC=C(S2)Br,1,0,63.24,415.117,20,1,4,1,9,2,0,0,0,3.9361
25240077,CC[C@@]1(C[C@@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O.OS(=O)(=O)O,1,0,245.77,923.051,65,5,14,5,19,3,3,2,1,2.8647
25240078,CCCSc1ccc2c(c1)nc([nH]2)NC(=O)OC,0,0,67.01,265.338,18,2,4,2,6,2,0,0,2,3.2433
25240079,C[NH+](C)CCc1c[nH]c2c1cc(cc2)Cn3cncn3,0,1,50.94,270.36,20,2,3,2,5,3,0,0,4,0.4947
25240080,CC(C)O,0,0,20.23,60.096,4,1,1,1,1,0,0,1,0,0.3871
25240081,COc1cc(cc(c1OC)OC)[C@@H]2c3cc4c(cc3[C@@H]([C@@H]5[C@@H]2C(=O)OC5)O)OCO4,0,0,92.68,414.41,30,1,8,1,8,2,1,1,0,2.4092
25240082,CCCCCCCCCCCCCCCC[N+](C)(C)CCN(Cc1ccc(cc1)OC)c2ncccn2,0,1,38.25,511.819,37,0,4,0,5,2,0,0,2,8.0495
25240083,CC(CN(c1c(cc(c(c1I)N)I)I)C(=O)C)C(=O)[O-],0,-1,86.46,612.951,20,2,4,1,8,1,0,0,0,1.8215
25240084,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](CCC3=C)O)C,0,0,40.46,400.647,29,2,2,2,2,0,3,2,0,6.7339
25240085,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@]2(C#C)O)OC,0,0,29.46,310.437,23,1,2,1,2,1,2,1,0,3.9156
25240086,C1[C@@H]([C@H](O[C@H]1N2C=NC(=NC2=O)N)CO)O,1,0,123.49,228.208,16,4,8,3,8,1,1,2,3,-2.1388
25240087,CC(=O)O[C@H]1[C@H](C[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(C[C@@H]([C@H](C4)O)[NH+]5CCOCC5)C)C)[N+]6(CCCC6)CC=C,0,2,60.2,530.794,38,2,4,2,6,0,6,1,0,2.9904
25240088,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@@H]3[C@H]2C=CC4=CC(=O)CC[C@@]34C)C,0,0,34.14,312.453,23,0,2,0,2,0,2,0,0,4.4995
25240089,Cn1c(nnn1)SCC2=C(N3[C@@H]([C@@](C3=O)(NC(=O)C4SC(=C(C(=O)N)C(=O)[O-])S4)OC)SC2)C(=O)[O-],0,-2,225.59,573.616,36,3,16,2,19,1,2,0,4,-4.0669
25240090,CCCCN1C(=O)[C@H](NC(=O)C12CCN(CC2)CC3=CC=C(C=C3)OC4=CC=C(C=C4)C(=O)O)[C@@H](C5CCCCC5)O,1,0,119.41,577.722,42,3,6,3,9,2,3,1,0,4.58
25240091,C(CS(=O)(=O)[O-])S,0,-1,57.2,141.193,7,0,4,1,5,0,0,0,0,-0.5386
25240092,Cc1c(cno1)C(=O)Nc2ccc(cc2)C(F)(F)F,0,0,55.13,270.21,19,1,3,1,7,2,0,0,1,3.25412
25240093,CC(=O)OCC(=O)[C@@]12[C@@H](C[C@@H]3[C@@]1(C[C@@H]([C@]4([C@H]3C[C@@H](C5=CC(=O)C=C[C@@]54C)F)F)O)C)OC(O2)(C)C,0,0,99.13,494.531,35,1,7,1,9,0,4,1,0,2.9376
25240094,CC(Cc1ccccc1)[NH2+]C,0,1,16.61,150.245,11,2,0,1,1,1,0,0,0,0.8108
25240095,CCOC(=O)C1=C(NC(=C(C1c2cccc(c2Cl)Cl)C(=O)OC)C)C,0,0,64.63,384.259,25,1,5,1,7,1,0,0,0,3.9643
25240096,C#CC1(CCCCC1)OC(=O)N,0,0,52.32,167.208,12,2,2,1,3,0,1,0,0,1.4178
25240097,C1CC[C@H]([C@@H](C1)[NH3+])N,0,1,53.66,115.2,8,5,1,2,2,0,1,0,0,-0.5018
25240098,CC(C(c1cc(ccc1OC)OC)O)[NH3+],0,1,66.33,212.269,15,4,3,2,4,1,0,1,0,0.3676
25240099,CC(C)[NH2+]CC(COc1ccc(cc1)CCOCC2CC2)O,0,1,55.3,308.442,22,3,3,2,4,1,1,1,0,1.3672
25240100,C[NH2+]/C(=C\[N+](=O)[O-])/NCCSCc1ccc(o1)C[NH+](C)C,0,2,89.36,316.427,21,4,5,3,8,1,0,0,0,-0.9843
25240101,C[NH+]1CCc2cccc-3c2[C@H]1Cc4c3c(c(cc4)O)O,0,1,44.9,268.336,20,3,2,3,3,2,0,0,0,1.4328
25240102,CC(C)[C@@H](C(=O)OCCOCn1cnc2c1nc([nH]c2=O)N)[NH3+],0,1,152.76,325.349,23,6,8,3,10,2,0,0,4,-1.5144
25240103,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/CO)/C)/C,0,0,20.23,286.459,21,1,1,1,1,0,0,1,0,5.5103
25240104,CCCCCCC(=O)O[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C,0,0,43.37,400.603,29,0,3,0,3,0,3,0,0,6.4005
25240105,CCNC(=O)CCC/C=C\C[C@H]1[C@H](C[C@H]([C@@H]1/C=C/[C@H](CCc2ccccc2)O)O)O,0,0,89.79,415.574,30,4,4,4,5,1,1,3,0,3.1469
25240106,Cc1c(c(no1)c2ccccc2)c3ccc(cc3)S(=O)(=O)N,0,0,86.19,314.366,22,2,4,1,6,3,0,0,1,2.96442
25240107,Cc1c(=O)c2cccc(c2oc1c3ccccc3)C(=O)OCC[NH+]4CCCCC4,0,1,60.95,392.475,29,1,4,1,5,3,1,0,0,2.99402
25240108,C1=NC2=C(N1)C(=S)N=C(N2)N,1,0,83.38,167.197,11,4,4,3,6,2,0,0,4,0.59769
25240109,CN(C)/C=[NH+]/c1c(cc(c(c1I)CCC(=O)[O-])I)I,0,0,57.34,597.96,19,1,2,1,7,1,0,0,0,0.4849
25240110,CC/C(=C(/CC)\c1ccc(cc1)OP(=O)([O-])[O-])/c2ccc(cc2)OP(=O)([O-])[O-],0,-4,144.84,424.282,28,0,8,0,10,2,0,0,0,1.8324
25240111,CS(=O)C,0,0,17.07,78.136,4,0,1,0,2,0,0,0,0,-0.0053
25240112,CC(=O)Nc1c(c(c(c(c1I)N(C)C(=O)C)I)C(=O)N[C@@H]2[C@H]([C@@H]([C@H](OC2O)CO)O)O)I,0,0,168.66,789.099,32,6,8,6,14,1,1,4,0,-0.0288
25240113,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)c2cccc(c2)[N+](=O)[O-])C(=O)OCCOC,0,0,117,418.446,30,1,8,1,9,1,0,0,0,2.9708
25240114,CCC(=O)N(c1ccccc1)C2(CC[NH+](CC2)CCc3cccs3)COC,0,1,33.98,387.569,27,1,3,1,5,2,1,0,0,2.7977
25240115,CC(C)CC(C(=O)NC(CCCNC(=[NH2+])N)C(=O)N1CCCC1C(=O)NCC(=O)N)NC(=O)C(Cc2ccc3ccccc3c2)NC(=O)C(Cc4ccc(cc4)O)NC(=O)C(CO)NC(=O)C(Cc5c[nH]c6c5cccc6)NC(=O)C(Cc7c[nH]cn7)NC(=O)C8CCC(=O)N8,0,1,473.87,1323.504,96,20,14,17,30,6,2,1,3,-3.2329
25240116,CC(C)Cn1cnc2c1c3ccccc3nc2N,0,0,56.73,240.31,18,2,4,1,4,3,0,0,3,2.8227
25240117,CC(=O)Nc1c(cc(c(c1I)C(=O)[O-])I)I,0,-1,69.23,555.855,16,1,3,1,7,1,0,0,0,1.8223
25240118,CC1=CC=C(C=C1)S(=O)(=O)O.CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F,1,0,146.72,637.036,43,4,6,4,15,4,0,0,1,6.79142
25240119,CC(C)(C)NC(=O)[C@@H]1CN(CC[NH+]1C[C@H](C[C@@H](Cc2ccccc2)C(=O)N[C@H]3c4ccccc4C[C@H]3O)O)Cc5cccnc5,0,1,119.23,614.811,45,5,6,5,9,3,1,2,1,1.4498
25240120,CCCC(C)C1(C(=O)NC(=S)NC1=O)CC,0,0,58.2,242.344,16,2,3,2,5,0,1,0,0,1.3499
25240121,c1nc(nc(=O)n1[C@H]2C[C@@H]([C@H](O2)CO)O)N,0,0,123.49,228.208,16,4,8,3,8,1,1,2,3,-2.1388
25240122,CCC1(CCC(=O)NC1=O)c2ccccc2,0,0,46.17,217.268,16,1,2,1,3,1,1,0,0,1.771
25240123,CC(C1C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCC[NH3+])Cc2c[nH]c3c2cccc3)Cc4ccccc4)NC(=O)C(Cc5ccccc5)[NH3+])C(=O)NC(CO)C(C)O)O,0,2,335.46,1021.277,71,17,12,13,22,4,1,3,1,-2.239
25240124,CCNC(=[NH+]CCCC[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCC[NH+]=C(NCC)NCC)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(=O)N)NC(=O)[C@H](Cc2ccc(cc2)O)NC(=O)[C@H](CO)NC(=O)[C@@H](Cc3cccnc3)NC(=O)[C@@H](Cc4ccc(cc4)Cl)NC(=O)[C@@H](Cc5ccc6ccccc6c5)NC(=O)C)NCC,0,2,454.71,1572.366,112,19,14,18,32,5,1,1,1,-1.5661
25240125,C[NH+]1CCCC(C1)CC2c3ccccc3Sc4c2cccc4,0,1,4.44,310.486,22,1,1,1,2,2,1,0,0,3.5979
25240126,CC1=CC(=O)c2ccccc2C1=O,0,0,34.14,172.183,13,0,2,0,2,1,0,0,0,2.0119
25240127,CCC[C@@H](C(=O)OCC)[NH2+][C@@H](C)C(=O)N1[C@H]2CCCC[C@H]2C[C@H]1C(=O)[O-],0,0,103.35,368.474,26,2,5,1,7,0,2,0,0,-0.4203
25240128,CC(CCC[NH3+])Nc1cc(cc2c1nccc2)OC,0,1,61.79,260.361,19,4,3,2,4,2,0,0,1,2.0659
25240129,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\OC)/c3csc(n3)N)SC1)C(=O)[O-],0,-1,176.34,454.466,30,3,12,2,14,1,1,0,1,-1.9572
25240130,C1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2CO[C@H]([C@@H]([C@H]2OS(=O)(=O)[O-])OS(=O)(=O)[O-])O)OS(=O)(=O)[O-])OS(=O)(=O)[O-])O,0,-4,333.87,598.469,35,2,21,2,25,0,2,2,0,-6.181
25240131,C[C@@H]1OC[C@@H]2[C@@H](O1)[C@@H]([C@H]([C@@H](O2)O[C@H]3[C@H]4COC(=O)[C@@H]4[C@@H](C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,1,0,160.83,588.562,42,3,13,3,13,2,3,2,0,1.3386
25240132,CCCCC(C)(C/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CCCCCCC(=O)OC)O)O,0,0,83.83,382.541,27,2,5,2,5,0,1,2,0,3.9536
25240133,CCCCCOc1ccc(cc1)c2ccc(cc2)c3ccc(cc3)C(=O)N[C@H]4C[C@H]([C@H](NC(=O)[C@@H]5[C@H]([C@H](CN5C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]6C[C@H](CN6C(=O)[C@@H](NC4=O)[C@@H](C)O)O)[C@@H]([C@H](c7ccc(cc7)O)O)O)[C@@H](C)O)C)O)O)O,0,0,377.42,1140.254,82,14,17,14,24,4,3,8,0,-0.9271
25240134,CC(Cc1ccc(cc1)OC)[NH2+]CC(c2ccc(c(c2)NC=O)O)O,0,1,95.4,345.419,25,5,4,4,6,2,0,1,0,1.1971
25240135,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@@H]([C@]2(C[C@@H]1[NH+]4CCCCC4)C)CC[C@]5([C@H]3C[C@@H]([C@@H]5OC(=O)C)[N+]6(CCCCC6)C)C,0,2,57.04,558.848,40,1,4,1,6,0,6,0,0,4.5488
25240136,CC#CCC(C)[C@@H](/C=C/[C@H]1[C@@H](C[C@H]2[C@@H]1C/C(=C/CCCC(=O)[O-])/C2)O)O,0,-1,80.59,359.486,26,2,4,2,4,0,2,2,0,2.2066
25240137,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](c3ccc(cc3)O)[NH3+])C(=O)[O-])C,0,0,137.41,365.411,25,5,6,3,9,1,2,0,0,-2.0278
25240138,c1cc(ccc1COC(Cn2ccnc2)c3ccc(cc3Cl)Cl)Cl,0,0,27.05,381.69,24,0,3,0,6,3,0,0,2,5.8014
25240139,CCCCCCCC/C=C\CCCCCCCC(=O)[O-],0,-1,40.13,281.46,20,0,2,0,2,0,0,0,0,4.7738
25240140,Cc1cccc(c1NC(=O)C2CCCC[NH+]2C)C,0,1,33.54,247.362,18,2,1,2,3,1,1,0,0,1.30914
25240141,c1ccc(cc1)C(CC[NH+]2CCCCC2)(C3CCCCC3)O,0,1,24.67,302.482,22,2,1,2,2,1,2,1,0,2.9134
25240142,COc1cc2c(cc1OC)nc(nc2N)N3CCN(CC3)C(=O)C4CCCO4,0,0,103.04,387.44,28,2,8,1,9,2,2,0,2,1.0568
25240143,CCN(CC)c1ccc(cc1)C(=C2C=CC(=[N+](CC)CC)C=C2)c3cc(ccc3S(=O)(=O)[O-])S(=O)(=O)[O-],0,-1,120.65,543.687,37,0,7,0,10,2,0,0,0,3.7622
25240144,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CC[C@@H]4[C@@]3(COC(=O)C4)C,0,0,46.53,306.446,22,1,3,1,3,0,4,1,0,3.5431
25240145,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](Cc3c2c(c4c(c3[O-])C(=O)c5cccc(c5C4=O)OC)[O-])(C(=O)C)O)[NH3+])O,0,-1,193.12,526.518,38,5,10,3,11,2,1,2,0,-0.9519
25240146,c1ccc(cc1)CCCC(=O)[O-],0,-1,40.13,163.196,12,0,2,0,2,1,0,0,0,0.7592
25240147,O=[Ti]=O,0,0,34.14,79.865,3,0,2,0,3,0,0,0,0,-0.2401
25240148,CC[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)OC(=O)C)CCC4=C/C(=N/O)/CC[C@H]34,0,0,58.89,369.505,27,1,4,1,4,0,3,0,0,4.7145
25240149,c1ccc(cc1)CC2C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)N2)Cc3ccc(cc3)O)[NH3+])C(=O)N4CCCC4C(=O)NC(CCCC[NH3+])C(=O)NCC(=O)N)CC(=O)N)CCC(=O)N,0,2,428.79,1058.255,73,20,14,13,27,2,2,0,0,-5.7627
25240150,Cc1ccc(cc1)N(CC2=[NH+]CCN2)c3cccc(c3)O,0,1,49.47,282.367,21,3,3,3,4,2,0,0,0,0.92102
25240151,N(=O)[O-],0,-1,52.49,46.005,3,0,3,0,3,0,0,0,0,0.2506
25240152,CC/C(=C(/CC)\c1ccc(cc1)O)/c2ccc(cc2)O,0,0,40.46,268.356,20,2,2,2,2,2,0,0,0,4.8286
25240153,CCC[NH+](CCc1cccs1)[C@H]2CCc3c(cccc3O)C2,0,1,24.67,316.49,22,2,2,2,3,2,0,0,0,2.8486
25240154,c1c2c(cc(c1Cl)S(=O)(=O)N)S(=O)(=O)NC(N2)C3CC4CC3C=C4,0,0,118.36,389.886,24,4,5,3,10,1,1,0,0,1.2295
25240155,CC(=O)Nc1nnc(s1)S(=O)(=O)N,0,0,115.04,222.251,13,3,6,2,9,1,0,0,2,-0.8561
25240156,C[C@H]([C@@H](C(=O)NCC(=O)N[C@@H](Cc1c[nH]c2c1cccc2)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(=O)[O-])C(=O)N[C@@H](Cc3ccccc3)C(=O)N)NC(=O)[C@H](Cc4ccc(cc4)OS(=O)(=O)[O-])NC(=O)[C@H](CC(=O)[O-])NC(=O)[C@H](CCC(=O)N)NC(=O)[C@@H]5CCC(=O)N5)O,0,-3,559.89,1349.402,94,16,22,14,36,4,1,1,1,-7.5273
25240157,C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5CC[C@]7([C@@]6(CC[C@@H]7C8=CC(=O)OC8)O)C)C)C)C)O)O,0,0,182.83,764.95,54,5,13,5,13,0,7,5,0,3.2473
25240158,C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C(=CC=C3)N,1,0,109.57,273.248,20,3,5,2,7,1,1,0,0,-0.33
25240159,Cc1ccc(cc1)c2c(n3cc(ccc3n2)C)CC(=O)N(C)C,0,0,37.61,307.397,23,0,3,0,4,3,0,0,2,3.24884
25240160,CC(=O)OCC(CCn1cnc2c1nc(nc2)N)COC(=O)C,0,0,122.22,321.337,23,2,9,1,9,2,0,0,4,0.541
25240161,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)CSc3ccncc3)SC1)C(=O)[O-],0,-1,128.73,422.464,28,1,9,1,11,1,1,0,1,-0.8593
25240162,CCC1=C(CN(C1=O)C(=O)NCCc2ccc(cc2)S(=O)(=O)[N-]C(=O)NC3CCC(CC3)C)C,0,-1,126.75,489.618,34,2,5,2,10,1,1,0,0,3.8581
25240163,C(C[NH3+])C[NH2+]CCSP(=O)([O-])[O-],0,0,107.44,214.227,12,5,4,2,7,0,0,0,0,-3.2563
25240164,CNS(=O)(=O)Cc1ccc2c(c1)c(c[nH]2)CC[NH+](C)C,0,1,66.4,296.416,20,3,2,3,6,2,0,0,1,-0.0959
25240165,Cc1nnc2n1-c3ccc(cc3C(=NC2)c4ccccc4Cl)Cl,0,0,43.07,343.217,23,0,4,0,6,3,0,0,3,4.23352
25240166,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@@H]([C@]2(C[C@@H]1[N+]4(CCCCC4)C)C)CC[C@]5([C@H]3C[C@@H]([C@@H]5OC(=O)C)[N+]6(CCCCC6)C)C,0,2,52.6,572.875,41,0,4,0,6,0,6,0,0,6.1105
25240167,CC(C)(C)[NH2+]C[C@@H](COc1c(nsn1)N2CCOCC2)O,0,1,84.32,317.435,21,3,7,2,8,1,1,1,2,-0.5237
25240168,C[NH2+]CCCC1c2ccccc2C=Cc3c1cccc3,0,1,16.61,264.392,20,2,0,1,1,2,0,0,0,3.2757
25240169,Cc1ccccc1N2CC[NH+](CC2)CCc3nnc4n3CCCC4,0,1,38.39,326.468,24,1,4,1,5,2,1,0,3,0.87042
25240170,CCCC(=O)Nc1c(cc(c(c1I)CC(CC)C(=O)[O-])I)I,0,-1,69.23,640.017,22,1,3,1,7,1,0,0,0,3.5576
25240171,c1ccc2c(c1)c3c([nH]2)CN(CC3)C(=O)CCS,0,0,36.1,260.362,18,1,2,2,4,2,0,0,1,2.3725
25240172,CC[NH+](CC)CCOC(=O)C1(CCCCC1)C2CCCCC2,0,1,30.74,310.502,22,1,2,1,3,0,2,0,0,2.9851
25240173,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=Cc5c(cno5)C[C@]34C,0,0,46.26,337.463,25,1,3,1,3,1,3,1,1,4.221
25240174,c1nc(nc(=O)n1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N,0,0,143.72,244.207,17,5,9,4,9,1,1,3,3,-3.168
25240175,Cc1cnc(s1)NC(=O)C2=C(c3ccccc3S(=O)(=O)N2C)O,0,0,99.6,351.409,23,2,6,2,9,2,0,1,1,1.95092
25240176,C[N+]12CCC(CC1)C(C2)OC(=O)C(c3ccccc3)(c4ccccc4)O,0,1,46.53,352.454,26,1,3,1,4,2,3,1,0,2.7045
25240177,CCc1cc(ccn1)C(=S)N,0,0,38.91,166.249,11,2,2,1,3,1,0,0,1,1.2782
25240178,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,0,2,52.6,290.404,20,0,4,0,6,0,0,0,0,0.2654
25240179,c1ccc(cc1)C2C[C@H]2[NH3+],0,1,27.64,134.202,10,3,0,1,1,1,1,0,0,0.7844
25240180,CC(=O)[N-]S(=O)(=O)c1ccc(cc1)N,0,-1,91.33,213.238,14,2,4,1,6,1,0,0,0,0.8777
25240181,CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)F)NC2=O)C,1,0,77.23,398.482,29,3,3,3,7,2,0,0,1,3.33494
25240182,Cn1cnc2c1c(=O)n(c(=O)n2C)C,0,0,61.82,194.194,14,0,6,0,6,2,0,0,4,-1.0293
25240183,Cc1ccc(cc1C)n2c(=O)c(c([nH]2)C)N/N=C/3\C=CC=C(C3=O)c4cccc(c4)C(=O)[O-],0,-1,119.38,441.467,33,2,7,2,8,3,0,0,2,2.44476
25240184,c1cc(ccc1c2ccc(o2)/C=N/N3CC(=O)NC3=O)[N+](=O)[O-],0,0,118.05,314.257,23,1,6,1,9,2,1,0,0,1.7405
25240185,c1cnc(nc1)N2CC[NH+](CC2)CCCCN3C(=O)CC4(CCCC4)CC3=O,0,1,70.84,386.52,28,1,5,1,7,1,3,0,2,0.6711
25240186,CCCCCCCCCCCCCCCC(=O)O[C@@H]1[C@H]([C@H]([C@H](O[C@@H]1SC)C(C(C)Cl)NC(=O)[C@@H]2C[C@H](C[NH+]2C)CCC)O)O,0,1,109.53,664.414,44,4,7,4,10,0,2,2,0,5.0046
25240187,COc1cc2c(cc1OC)C(=O)C(C2)CC3CC[NH+](CC3)Cc4ccccc4,0,1,39.97,380.508,28,1,3,1,4,2,1,0,0,2.944
25240188,Cn1c(nnn1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)[C@@H](c4ccccc4)O)SC2)C(=O)[O-],0,-1,153.37,461.505,31,2,11,2,13,2,1,1,4,-1.5603
25240189,CCCCC(=O)OCC(=O)[C@@]1(Cc2c(c(c3c(c2[O-])C(=O)c4cccc(c4C3=O)OC)[O-])[C@H](C1)OC5CC(C(C(O5)C)O)NC(=O)C(F)(F)F)O,0,-2,220.88,721.634,51,3,13,3,17,2,1,2,0,1.1982
25240190,CC(c1cccc(c1)C(=O)c2ccccc2)C(=O)[O-],0,-1,57.2,253.277,19,0,3,0,3,2,0,0,0,1.771
25240191,CC([C@H]1CC[C@@H](CC1)C(=O)N[C@@H](C(=O)[O-])Cc2ccccc2)C,0,-1,69.23,316.421,23,1,3,1,4,1,1,0,0,1.9262
25240192,CCCCOc1ccc(cc1)OCCC[NH+]2CCOCC2,0,1,32.13,294.415,21,1,3,1,4,1,1,0,0,1.5495
25240193,c1c(c(=O)[nH]c(=O)n1[C@H]2C[C@@H]([C@H](O2)CO)O)F,0,0,104.55,246.194,17,3,6,3,8,1,1,2,2,-1.6836
25240194,Cn1c2c(c(=O)n(c1=O)C)n(cn2)CC(CO)O,0,0,102.28,254.246,18,2,8,2,8,2,0,2,4,-2.2131
25240195,C[C@@H](c1c(cncn1)F)[C@](Cn2cncn2)(c3ccc(cc3F)F)O,0,0,76.72,349.316,25,1,6,1,9,3,0,1,5,2.1769
25240196,c1ccc(cc1)[C@H](C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)CSc4nnnn4CS(=O)(=O)[O-])C(=O)[O-])O,0,-2,210.57,540.561,35,2,14,2,17,2,1,1,4,-2.5946
