classification,residueCount,resolution,structureMolecularWeight,crystallizationTempK,densityMatthews,densityPercentSol,phValue
HYDROLASE,464,2.5,51669.4,298,2.1,41.32,6
HYDROLASE,678,2.07,77737.29,298,2.48,50.41,6
HYDROLASE,316,2.3,34718.84,298,3.6,65,6
HYDROLASE,119,1.5,13307.72,298,2.22,44.06,6
HYDROLASE,238,1.6,26660.15,298,2.3,46,6
HYDROLASE,119,1.65,13263.56,298,2.18,43.23,6
HYDROLASE,512,2.1,56826.69,298,4.02,69.41,6
HYDROLASE,512,1.9,56690.59,298,4.02,69.39,6
HYDROLASE,512,1.95,56641.52,298,4.05,69.6,6
HYDROLASE,686,3.1,77960.16,298,2.63,53.17,6
HYDROLASE,360,1.8,42140.73,298,2.3,46.44,6
HYDROLASE,194,2.09,21273.23,298,1.97,37.62,6
HYDROLASE,671,2.5,68160.89,298,2.55,51.39,6
HYDROLASE,245,2,28618.66,298,2.65,53.51,6
HYDROLASE,245,2,29070.2,298,2.63,53.22,6
HYDROLASE,245,2.3,29076.25,298,2.63,53.25,6
HYDROLASE,434,1.6,46383.92,298,1.89,34.5,6
HYDROLASE,520,1.85,58422.24,298,2.47,50.19,6
HYDROLASE,285,1.02,31714.72,298,2.23,44.89,6
HYDROLASE,416,1.85,46482.9,298,2.01,38.74,6
HYDROLASE,1200,1.75,129804.8,298,2.07,40.48,6
HYDROLASE,124,2.6,13915.32,298,2.1,43,6
HYDROLASE,262,1.7,29040.62,298,2.64,53.46,6
HYDROLASE,353,1.75,39276.77,298,2.97,58.21,6
HYDROLASE,223,1.8,23824.93,298,2.99,58.81,6
HYDROLASE,223,1.6,23822.92,298,2.97,58.64,6
HYDROLASE,223,1.8,23810.91,298,2.98,58.68,6
HYDROLASE,223,1.7,23812.92,298,2.98,58.73,6
HYDROLASE,126,1.86,14439.12,298,2.2,42.6,6
HYDROLASE,119,1.48,13378.69,298,2.2,44.1,6
HYDROLASE,195,1.9,21495.76,298,2.01,36.55,6
HYDROLASE,124,2.6,13915.32,298,2.1,42,6
HYDROLASE,198,1.3,23045.74,298,2.61,52.81,6
HYDROLASE,329,1.5,37219.27,298,2.38,48.23,6
HYDROLASE,996,1.75,114463.5,298,2.2,43.9,6
HYDROLASE,482,2.8,51868.44,298,2.77,55.59,6
HYDROLASE,482,2.3,52168.7,298,2.76,55.48,6
HYDROLASE,994,2.5,112520.34,298,3.18,61.26,6
HYDROLASE,304,1.9,35050.01,298,2.56,52,6
HYDROLASE,612,1.82,67948.51,298,2.46,50.01,6
HYDROLASE,524,1.95,61287.11,298,2.32,47,6
HYDROLASE,860,3.1,96752.55,298,4.43,72.25,6
HYDROLASE,329,1.5,37565.27,298,2.4,48.81,6
HYDROLASE,329,1.6,37548.29,298,2.34,47.42,6
HYDROLASE,339,2.04,39498.37,298,2.03,39.45,6
HYDROLASE,339,2.04,39485.38,298,2.02,39.02,6
HYDROLASE,1596,2.05,176390.72,298,2.15,42.9,6
HYDROLASE,616,2.7,67955.48,298,2.4,48.69,6
HYDROLASE,306,1.75,33790.52,298,2,38.46,6
HYDROLASE,2316,2.8,256671.05,298,2.56,51.88,6
HYDROLASE,339,1.8,39729.89,298,2.02,39.12,6
HYDROLASE,339,1.6,39694.93,298,2.04,39.6,6
HYDROLASE,622,1.8,71769.13,298,3.21,61.63,6
HYDROLASE,622,1.76,71815.23,298,3.18,61.37,6
HYDROLASE,1560,2.2,172521.62,298,3.74,67.07,6
HYDROLASE,599,1.35,71301.59,298,3.2,61.51,6
HYDROLASE,599,2.2,71298.54,298,3.26,62.22,6
HYDROLASE,448,1.05,48742.34,298,1.97,37.52,6
HYDROLASE,1244,2.3,141003.55,298,2.24,40.17,6
HYDROLASE,964,2.9,110280.5,298,4.93,75.05,6
HYDROLASE,124,1.6,13946.2,298,2.76,55.48,6
HYDROLASE,124,1.6,13918.15,298,2.77,55.64,6
HYDROLASE,124,1.6,13882.7,298,2.76,55.38,6
HYDROLASE,124,1.6,13918.15,298,2.78,55.75,6
HYDROLASE,124,2,13833.21,298,2.75,55.35,6
HYDROLASE,124,1.4,13939.57,298,2.79,55.98,6
HYDROLASE,124,1.6,13882.69,298,2.75,55.27,6
HYDROLASE,251,1.6,27446.05,298,2.11,41.62,6
HYDROLASE,251,1.9,27504.17,298,2.07,40.47,6
HYDROLASE,251,1.72,27363.42,298,2.07,40.6,6
HYDROLASE,251,1.81,27363.42,298,2.05,39.88,6
HYDROLASE,1572,2.01,183674.97,298,2.22,44.69,6
HYDROLASE,524,1.65,61469.24,298,2.26,45.65,6
HYDROLASE,524,1.6,61807.14,298,2.25,45.34,6
HYDROLASE,524,1.73,62233.35,298,2.23,44.74,6
HYDROLASE,524,1.9,61341.25,298,2.3,46.61,6
HYDROLASE,524,1.81,61431.24,298,2.3,46.47,6
HYDROLASE,251,2.2,27466.06,298,2.07,40.49,6
HYDROLASE,612,2.65,67577.07,298,2.42,49.26,6
HYDROLASE,306,2.25,33788.54,298,3.31,62.85,6
HYDROLASE,306,2.4,33712.44,298,3.25,62.15,6
HYDROLASE,612,2.7,67424.88,298,3.12,60.56,6
HYDROLASE,306,2.4,33346.7,298,2.78,55.83,6
HYDROLASE,397,1.89,42662.64,298,2.25,45.36,6
HYDROLASE,318,2,36278.67,298,2.44,49.64,6
HYDROLASE,198,1.17,24753.45,298,2.71,54.69,6
HYDROLASE,230,2.1,24396.19,298,4.04,69.55,6
HYDROLASE,124,2.35,13779.23,298,2.69,54.31,6
HYDROLASE,124,2.6,13737.15,298,2.78,55.79,6
HYDROLASE,1068,1.85,125924.35,298,2.27,45.93,6
HYDROLASE,524,1.75,61851.4,298,2.25,45.31,6
HYDROLASE,524,2.01,61851.4,298,2.26,45.57,6
HYDROLASE,664,1.9,75881.82,298,2.34,47.53,6
HYDROLASE,612,2.3,67667.23,298,2.49,50.56,6
HYDROLASE,308,2.9,33934.64,298,1.97,37.53,6
HYDROLASE,616,2.7,67865.32,298,2.34,47.53,6
HYDROLASE,244,2.3,28532.87,298,2.5,50.74,6
HYDROLASE,196,2.84,22140.92,298,2.46,49.9,6
HYDROLASE,1003,1.2,114051.92,298,2.84,56.64,6
HYDROLASE,1003,1.5,113687.58,298,2.85,56.91,6
HYDROLASE,1003,1.75,113565.56,298,3.02,59.31,6
HYDROLASE,1003,1.4,113447.48,298,2.85,56.81,6
HYDROLASE,572,2.1,63702.95,298,2.08,40.9,6
HYDROLASE,540,2.34,60121.97,298,2.35,47.57,6
HYDROLASE,223,1.7,23805.91,298,2.34,47.51,6
HYDROLASE,223,2.8,23860.07,298,2.84,56.61,6
HYDROLASE,316,1.95,35341.64,298,3.6,65.88,6
HYDROLASE,316,2.1,35206.33,298,3.58,65.6,6
HYDROLASE,316,2,35599.8,298,3.53,65.2,6
HYDROLASE,233,2.2,26206.78,298,2.25,45.32,6
HYDROLASE,844,2.02,99034.35,298,2.63,53.2,6
HYDROLASE,208,3.65,24182.72,298,3.25,62.21,6
HYDROLASE,542,2.21,61228.12,298,2.85,56.84,6
HYDROLASE,188,1.55,21100.67,298,1.9,35.24,6
HYDROLASE,189,1.5,21487.78,298,2.4,48.76,6
HYDROLASE,329,1.78,37577.73,298,2.38,48.37,6
HYDROLASE,329,1.7,37652.73,298,2.33,47.18,6
HYDROLASE,329,1.6,37652.73,298,2.36,47.79,6
HYDROLASE,329,1.3,37519.66,298,2.39,48.58,6
HYDROLASE,561,1.5,61153.57,298,2.22,44.54,6
HYDROLASE,1122,1.75,124232.84,298,2.42,49.07,6
HYDROLASE,2784,1.74,311392.06,298,2.21,44.4,6
HYDROLASE,206,1.37,23094.12,298,2.18,43.62,6
HYDROLASE,549,1.5,85907.76,298,2.22,44.54,6
HYDROLASE,1098,1.75,216978.66,298,2.42,49.07,6
HYDROLASE,306,1.89,34873.39,298,2.47,50.29,6
HYDROLASE,306,1.56,34852.48,298,2.58,52.31,6
HYDROLASE,306,1.83,34896.51,298,2.51,50.91,6
HYDROLASE,306,1.8,34868.46,298,2.49,50.64,6
HYDROLASE,306,1.6,34802.4,298,2.6,52.69,6
HYDROLASE,306,1.8,34880.47,298,2.57,52.18,6
HYDROLASE,306,1.8,34782.33,298,2.57,52.17,6
HYDROLASE,306,1.94,34836.5,298,2.6,52.72,6
HYDROLASE,306,1.87,34779.38,298,2.49,50.51,6
HYDROLASE,208,2.17,23020.2,298,2.7,54.46,6
HYDROLASE,772,2.92,90450.07,298,2.59,52.56,6
HYDROLASE,379,1.8,44370.12,298,2.84,56.74,6
HYDROLASE,542,2.22,60116.38,298,2.93,57.99,6
HYDROLASE,247,1.6,28628.91,298,2.22,44.61,6
HYDROLASE,230,0.92,23656.14,298,2.17,43.25,6
HYDROLASE,281,1.94,31595.82,298,1.95,37.03,6
HYDROLASE,960,2.18,104507.8,298,2.55,51.7,6
HYDROLASE,480,2.04,52334.03,298,1.84,33.04,6
HYDROLASE,480,2.5,52255.87,298,2.07,40.46,6
HYDROLASE,240,1.5,26795.7,298,2.43,49.44,6
HYDROLASE,141,2.15,15608.34,298,2.65,53.64,6
HYDROLASE,141,2.2,15794.54,298,2.61,52.91,6
HYDROLASE,124,2,13231.14,298,1.73,29.04,6
HYDROLASE,372,2.3,39957.6,298,1.73,29.04,6
HYDROLASE,1100,2.2,122328.87,298,2.36,47.96,6
HYDROLASE,1132,2.4,127030.96,298,2.36,47.88,6
HYDROLASE,1098,3.61,123566.65,298,2.5,50.72,6
HYDROLASE,804,1.58,83600.79,298,2.01,38.83,6
HYDROLASE,257,1.6,29480.52,283,2.41,49,6
HYDROLASE,1836,2.5,214187.03,283,3.65,66.26,6
HYDROLASE,1836,2.3,213981.09,283,3.67,66.45,6
HYDROLASE,138,2,15700.99,300,2.43,49,6
HYDROLASE,129,1.6,14765.2,300,1.81,32.01,6
HYDROLASE,129,1.65,14823.3,300,1.81,31.99,6
HYDROLASE,129,1.95,14866.59,300,1.81,31.9,6
HYDROLASE,129,1.65,14642.14,300,1.81,31.78,6
HYDROLASE,524,1.75,61815.34,300,2.31,46.73,6
HYDROLASE,524,1.5,61679.22,300,2.41,49.02,6
HYDROLASE,524,1.71,61303.07,300,2.31,46.7,6
HYDROLASE,524,1.76,61301.1,300,2.3,46.58,6
HYDROLASE,5408,3.8,602189.75,300,3.09,60.21,6
HYDROLASE,578,2.3,67585.16,285,2.55,51.71,6
HYDROLASE,630,2.2,83189.2,285,2.31,46.85,6
HYDROLASE,750,2.5,84960.38,285,3.75,67.22,6
HYDROLASE,273,2.25,31793.7,303,2.66,53.81,6
HYDROLASE,1404,2.8,156849.56,290.15,2.12,42.04,6
HYDROLASE,430,1.5,49234.22,291.15,2.44,49.67,6
HYDROLASE,430,1.95,47352.27,291.15,2.43,49.44,6
HYDROLASE,430,1.5,48325.35,291.15,2.45,49.69,6
HYDROLASE,920,1.98,101909.83,291.15,2.47,50.11,6
HYDROLASE,1860,2.29,204932,277.15,4.64,73.5,6
HYDROLASE,263,1.78,30176.37,293.15,2.26,45.61,6
HYDROLASE,648,2.2,75245.18,293.15,2.37,48.17,6
HYDROLASE,512,2.45,56913.88,293.15,4.03,69.48,6
HYDROLASE,512,2,56916.43,293.15,4.03,69.44,6
HYDROLASE,4848,2.36,529307.06,293.15,2.54,51.5,6
HYDROLASE,1212,1.82,133143.8,293.15,2.6,52.6,6
HYDROLASE,1212,2.7,133143.8,293.15,2.6,52.6,6
HYDROLASE,469,1.6,55003.13,293.4,2.45,49.71,6
HYDROLASE,469,1.8,54470.43,293.4,2.42,49.07,6
HYDROLASE,526,2.01,59822.1,281.15,2.28,46.01,6
HYDROLASE,1290,1.85,146721.28,298.15,2.55,51.83,6
HYDROLASE,716,1.75,79864.53,290,2.07,40.6,6.25
HYDROLASE,716,2.45,82440.35,291,2.14,42.45,6.25
HYDROLASE,1890,2.37,220712.69,291,2.3,46.61,6.25
HYDROLASE,1880,2.29,217419.88,291,2.7,54.4,6.25
HYDROLASE,1880,2.4,219410.59,291,2.67,53.94,6.25
HYDROLASE,347,2.7,39061.96,277,2.99,58.91,6.25
HYDROLASE,694,1.9,78109.98,277,2.35,47.77,6.25
HYDROLASE,694,1.87,78134.09,277,2.36,47.96,6.25
HYDROLASE,694,1.29,78338.14,277,2.36,47.86,6.25
HYDROLASE,694,1.87,78109.98,277,2.34,47.52,6.25
HYDROLASE,694,1.87,78134.09,277,2.34,47.36,6.25
HYDROLASE,694,1.9,78077.98,277,2.35,47.57,6.25
HYDROLASE,694,1.87,78208.04,277,2.33,47.32,6.25
HYDROLASE,620,1.63,71436.42,277,2.49,50.53,6.25
HYDROLASE,542,1.75,59769.27,293,2.2,44,6.25
HYDROLASE,254,1.52,26770.24,293,3.49,64.71,6.25
HYDROLASE,153,1.9,18148.84,293,2.94,58.12,6.25
HYDROLASE,884,2.6,101299.02,298,3.03,59.34,6.25
HYDROLASE,339,1.61,39376.29,298,2.04,39.71,6.25
HYDROLASE,878,2.48,98987.68,298,2.43,49.3,6.25
HYDROLASE,279,2.5,32588.37,20,2.04,39.79,6.5
HYDROLASE,534,1.34,63953.66,100,2.26,45.59,6.5
HYDROLASE,4092,1.7,475624.62,288,2.7,55,6.5
HYDROLASE,4092,3,466380.44,288,2.89,57.47,6.5
HYDROLASE,4092,1.8,475576.19,288,2.7,55,6.5
HYDROLASE,4092,1.75,477572.38,288,2.7,55,6.5
HYDROLASE,4092,1.55,476475.03,288,2.7,55,6.5
HYDROLASE,4092,1.75,473777.31,288,2.7,55,6.5
HYDROLASE,4092,2.1,472893.75,288,2.7,55,6.5
HYDROLASE,4092,1.75,476894.31,288,2.7,55,6.5
HYDROLASE,4092,2.1,475317.28,288,2.7,55,6.5
HYDROLASE,4092,1.8,474170.38,288,2.7,55,6.5
HYDROLASE,4092,2.1,473184.44,288,2.7,55,6.5
HYDROLASE,4092,1.5,475372.84,288,2.7,55,6.5
HYDROLASE,4092,1.5,478562.31,288,2.7,55,6.5
HYDROLASE,4092,1.6,473381.94,288,2.72,54.77,6.5
HYDROLASE,4092,1.6,475135.56,288,2.7,54.5,6.5
HYDROLASE,262,2.8,30000.64,288,3.27,62.33,6.5
HYDROLASE,796,2,89529.25,288,2.1,40.4,6.5
HYDROLASE,4638,1.95,536213.88,288,2.84,56.64,6.5
HYDROLASE,4092,2.05,474616.72,288,2.66,53.67,6.5
HYDROLASE,4092,2.05,473006.72,288,2.68,54.16,6.5
HYDROLASE,4092,1.8,477121.53,288,2.7,54.52,6.5
HYDROLASE,4092,1.75,475045.88,288,2.7,54.4,6.5
HYDROLASE,4092,3,473675.81,288,2.71,54.68,6.5
HYDROLASE,488,1.83,55991.64,288,2.36,47.95,6.5
HYDROLASE,488,1.8,55993.74,288,2.62,53.08,6.5
HYDROLASE,488,1.81,55683.27,288,2.36,47.97,6.5
HYDROLASE,4092,2.2,476977.12,288,2.72,54.82,6.5
HYDROLASE,4092,2.2,479563.03,288,2.69,54.29,6.5
HYDROLASE,4092,2.1,476908.72,288,2.72,54.71,6.5
HYDROLASE,4092,2,477187,288,2.66,53.78,6.5
HYDROLASE,4092,2.7,474490,288,2.71,54.58,6.5
HYDROLASE,4092,2.5,476448.81,288,2.69,54.25,6.5
HYDROLASE,4208,1.9,492965,288,2.64,53.48,6.5
HYDROLASE,4208,2.2,489510.5,288,2.63,53.15,6.5
HYDROLASE,4208,2.2,488042.81,288,2.61,52.84,6.5
HYDROLASE,144,1.55,16958.54,288,3.14,60.8,6.5
HYDROLASE,4208,2.05,485546,288,2.64,53.4,6.5
HYDROLASE,4208,2,485929.28,288,2.58,52.24,6.5
HYDROLASE,4208,1.75,488619.03,288,2.57,52.17,6.5
HYDROLASE,4208,1.9,488308.22,288,2.58,52.26,6.5
HYDROLASE,4208,2.4,485891.78,288,2.64,53.4,6.5
HYDROLASE,4208,1.93,488456.06,288,2.63,53.24,6.5
HYDROLASE,4208,1.85,488594.66,288,2.63,53.25,6.5
HYDROLASE,4208,2.6,485386.97,288,2.63,53.17,6.5
HYDROLASE,4208,2.4,484075.44,288,2.65,53.54,6.5
HYDROLASE,4208,2.8,482940.97,288,2.57,52.15,6.5
HYDROLASE,4208,2,485785.81,288,2.62,52.99,6.5
HYDROLASE,4208,2.7,481189.44,288,2.53,51.34,6.5
HYDROLASE,4208,2.87,482271.19,288,2.68,54.04,6.5
HYDROLASE,4208,2.05,485407.22,288,2.62,52.98,6.5
HYDROLASE,4208,2.5,481847.62,288,2.67,53.87,6.5
HYDROLASE,4208,2.05,486192.44,288,2.58,52.39,6.5
HYDROLASE,4208,2.55,483894.69,288,2.56,51.97,6.5
HYDROLASE,1254,2.3,148065.02,288,3.31,62.86,6.5
HYDROLASE,1254,2.76,146424.81,288,3.03,59.38,6.5
HYDROLASE,4208,2.1,488143.22,288,2.66,53.72,6.5
HYDROLASE,4208,2.2,487027.41,288,2.62,53.14,6.5
HYDROLASE,4208,2.3,485813.03,288,2.67,53.92,6.5
HYDROLASE,4092,1.6,477467.91,288,2.7,54.38,6.5
HYDROLASE,271,2.4,30683.92,273,5.35,76.82,6.5
HYDROLASE,291,1.51,31789.88,273,2.17,43.2,6.5
HYDROLASE,248,1.93,27317.02,289,2.07,40.44,6.5
HYDROLASE,5584,2.65,629359,289,2.62,53.09,6.5
HYDROLASE,221,2.1,25666.3,289,2.12,41.94,6.5
HYDROLASE,221,2,25682.3,289,2.11,41.62,6.5
HYDROLASE,221,1.9,25698.3,289,2.09,41.25,6.5
HYDROLASE,312,2,34939.57,289,2.17,43.23,6.5
HYDROLASE,312,1.9,34899.5,289,2.17,43.23,6.5
HYDROLASE,312,2.1,34924.56,289,2.17,43.25,6.5
HYDROLASE,312,1.9,34892.5,289,2.17,43.3,6.5
HYDROLASE,312,2,34901.52,289,2.17,43.29,6.5
HYDROLASE,312,1.9,34867.51,289,2.17,43.35,6.5
HYDROLASE,312,2,34917.52,289,2.17,43.26,6.5
HYDROLASE,312,1.07,34873.49,289,2.2,44.01,6.5
HYDROLASE,312,1.74,34941.55,289,2.17,43.26,6.5
HYDROLASE,312,1.1,34872.47,289,2.2,44,6.5
HYDROLASE,864,1.9,91432.71,289,2.18,43.57,6.5
HYDROLASE,114,1.8,13759.51,289,2.65,53.65,6.5
HYDROLASE,608,1.83,68720.69,289,2.36,47.91,6.5
HYDROLASE,611,2.33,69958.79,289,2.42,49.2,6.5
HYDROLASE,611,1.9,69960.8,289,2.41,48.93,6.5
HYDROLASE,611,1.7,70028.78,289,2.43,49.45,6.5
HYDROLASE,611,1.85,70042.91,289,2.44,49.64,6.5
HYDROLASE,611,1.96,70615.26,289,2.45,49.86,6.5
HYDROLASE,611,2.15,70117.95,289,2.43,49.47,6.5
HYDROLASE,611,1.8,70104.78,289,2.44,49.66,6.5
HYDROLASE,611,2,70243.15,289,2.42,49.12,6.5
HYDROLASE,611,2.3,69994.94,289,2.45,49.86,6.5
HYDROLASE,611,2.05,70047.95,289,2.44,49.55,6.5
HYDROLASE,611,2.2,70002.94,289,2.43,49.3,6.5
HYDROLASE,611,2.38,70477.55,289,2.42,49.28,6.5
HYDROLASE,611,2.6,70461.09,289,2.45,49.86,6.5
HYDROLASE,611,1.8,70459.1,289,2.45,49.88,6.5
HYDROLASE,611,2.2,70299.96,289,2.44,49.54,6.5
HYDROLASE,611,1.95,70087.98,289,2.46,49.9,6.5
HYDROLASE,611,2.15,70098.01,289,2.44,49.67,6.5
HYDROLASE,611,1.58,70163.1,289,2.45,49.88,6.5
HYDROLASE,337,1.98,36409.46,289,3.02,59.23,6.5
HYDROLASE,337,2.42,36482.62,289,3.04,59.49,6.5
HYDROLASE,328,1.9,35931.79,289,3.15,60.9,6.5
HYDROLASE,250,2,28164.83,289,2.17,43.31,6.5
HYDROLASE,580,1.9,65625.42,289,2.01,38.91,6.5
HYDROLASE,1407,2.3,162598.62,289,2.38,48.35,6.5
HYDROLASE,342,1.27,36921.8,289,2.12,42.1,6.5
HYDROLASE,156,2.05,18336.93,289,2.74,55.11,6.5
HYDROLASE,222,1.65,24617.04,289,2.73,54.9,6.5
HYDROLASE,380,1.5,41684.65,289,2.22,44.58,6.5
HYDROLASE,346,1.4,38180.84,289,2.51,51.05,6.5
HYDROLASE,596,1.6,65922.67,289,2.46,50.04,6.5
HYDROLASE,378,2.2,40451.67,289,2.68,54.13,6.5
HYDROLASE,624,2.1,68065,289,3.07,59.99,6.5
HYDROLASE,960,2.29,112007.51,289,2.22,44.54,6.5
HYDROLASE,972,1.35,102906.12,289,1.91,35.73,6.5
HYDROLASE,2886,2.31,335137.19,289,2.3,46.56,6.5
HYDROLASE,1078,1.8,128178.88,289,2.39,48.48,6.5
HYDROLASE,259,1.5,29085.55,289,2.5,50.83,6.5
HYDROLASE,324,2.59,36100.8,289,2.5,50.81,6.5
HYDROLASE,867,2.1,99587.43,289,2.84,56.71,6.5
HYDROLASE,890,1.76,101059.19,289,2.83,56.57,6.5
HYDROLASE,867,2.1,99498.21,289,2.84,56.71,6.5
HYDROLASE,262,3.2,30626.27,289,2.93,57.98,6.5
HYDROLASE,546,1.9,61657.98,289,2.53,51.35,6.5
HYDROLASE,380,1.9,41662.39,289,2.2,44.18,6.5
HYDROLASE,2094,2.64,237099.72,289,2.89,57.49,6.5
HYDROLASE,604,1.6,67831.59,289,2.35,47.69,6.5
HYDROLASE,691,1.85,81217.37,289,3,58.96,6.5
HYDROLASE,161,1.34,18846.64,289,1.69,27.24,6.5
HYDROLASE,1464,1.8,163818.83,289,2.28,45.95,6.5
HYDROLASE,129,1.52,18753.05,289,2,38.45,6.5
HYDROLASE,446,1.26,52605.48,289,2.01,38.93,6.5
HYDROLASE,519,3.3,65235.86,289,2.36,47.86,6.5
HYDROLASE,1366,1.8,153755.12,289,2.4,49.5,6.5
HYDROLASE,1366,1.75,154682.66,289,2.5,50,6.5
HYDROLASE,124,1.9,14450.25,289,3.17,61.17,6.5
HYDROLASE,124,1.35,15123.95,289,2.33,47.22,6.5
HYDROLASE,248,1.44,29238.9,289,1.97,37.62,6.5
HYDROLASE,124,1.85,14464.35,289,3.12,60.62,6.5
HYDROLASE,124,1.7,14703.59,289,3.2,61.56,6.5
HYDROLASE,326,1.73,35705.95,289,3.43,64.15,6.5
HYDROLASE,191,1.47,23098.7,289,2.27,45.9,6.5
HYDROLASE,690,1.95,76241.16,289,2,38.54,6.5
HYDROLASE,70,1.7,8263.33,289,2.24,45.15,6.5
HYDROLASE,140,1.3,16480.15,289,2.11,41.72,6.5
HYDROLASE,1090,2.4,120257.68,274,4.23,70.94,6.5
HYDROLASE,1090,2,120013.57,274,4.2,70.7,6.5
HYDROLASE,689,2.5,76609.88,290,3.37,63.55,6.5
HYDROLASE,1556,2,173251.22,290,2.86,56.98,6.5
HYDROLASE,1212,3.2,138631.12,290,2.4,50,6.5
HYDROLASE,1352,3.5,149294.95,290,3.05,59.71,6.5
HYDROLASE,1556,1.86,175886.62,290,2.87,57.07,6.5
HYDROLASE,836,2,93935.6,290,1.98,37.92,6.5
HYDROLASE,172,1.8,20235.17,290,3.1,60,6.5
HYDROLASE,1556,2.5,176058.89,290,2.83,56.49,6.5
HYDROLASE,231,1.9,26197.69,290,2.49,50.65,6.5
HYDROLASE,869,2.5,96962.48,290,3.47,64.51,6.5
HYDROLASE,290,1.7,32763,290,2.26,45.57,6.5
HYDROLASE,544,1.89,63535.75,290,2.31,46.77,6.5
HYDROLASE,544,1.89,63407.75,290,2.32,46.96,6.5
HYDROLASE,1088,1.9,131966.61,290,2.57,52.09,6.5
HYDROLASE,287,1.85,31929.35,290,2.67,53.87,6.5
HYDROLASE,2982,2.15,330779.22,290,2.35,47.7,6.5
HYDROLASE,370,1.6,42934.18,290,3.02,59.25,6.5
HYDROLASE,289,1.86,36712.2,290,2.96,58.39,6.5
HYDROLASE,1464,2.5,164445.92,290,2.31,46.65,6.5
HYDROLASE,716,1.65,79673.89,290,2.04,39.58,6.5
HYDROLASE,1144,1.66,134787.31,290,2.22,44.7,6.5
HYDROLASE,3552,2,389053.78,290,2.34,47.49,6.5
HYDROLASE,862,1.7,92535.31,290,2.64,53.33,6.5
HYDROLASE,775,2,85323.85,290,2.39,48.49,6.5
HYDROLASE,445,1.65,50542.97,290,2.64,53,6.5
HYDROLASE,471,2.3,53091.36,291,2.35,47.65,6.5
HYDROLASE,471,2.45,52478.85,291,2.35,47.59,6.5
HYDROLASE,215,1.6,23313.88,291,2.07,40.58,6.5
HYDROLASE,215,1.8,23360.86,291,2.09,41.09,6.5
HYDROLASE,286,2.9,33152.99,291,2.92,57.81,6.5
HYDROLASE,992,2,109352.17,291,2.12,41.93,6.5
HYDROLASE,620,1.5,67755.13,291,2.56,51.97,6.5
HYDROLASE,433,1.6,47884.39,291,2.37,48.12,6.5
HYDROLASE,658,2.7,74878.78,291,3.85,68.02,6.5
HYDROLASE,552,1.85,58712.37,291,3.55,65.05,6.5
HYDROLASE,383,1.42,42131.06,291,1.74,29.3,6.5
HYDROLASE,242,2.5,27362.02,291,2.28,46.1,6.5
HYDROLASE,192,1.8,21408.27,291,2.5,51.3,6.5
HYDROLASE,192,2,21822.67,291,2.6,51.6,6.5
HYDROLASE,213,2.3,23274.8,291,2.64,53,6.5
HYDROLASE,516,1.85,59839.85,291,3,58.1,6.5
HYDROLASE,516,2.06,59848.88,291,3,58.1,6.5
HYDROLASE,307,2.57,34420.15,291,2.7,53.7,6.5
HYDROLASE,4668,2.2,536758.5,291,2.77,56,6.5
HYDROLASE,4668,2.2,536766.44,291,2.81,56,6.5
HYDROLASE,93,1.25,10332.46,291,2.5,37,6.5
HYDROLASE,652,1.95,71724.59,291,2.7,54.4,6.5
HYDROLASE,652,1.7,71683.54,291,2.7,53.4,6.5
HYDROLASE,264,1.7,29780.91,291,1.91,35.7,6.5
HYDROLASE,652,2.2,71816.68,291,2.76,55.51,6.5
HYDROLASE,633,2.7,70054.78,291,2.55,51.83,6.5
HYDROLASE,867,2.05,100292.79,291,2.83,56.48,6.5
HYDROLASE,522,2,58600.96,291,1.99,38.29,6.5
HYDROLASE,526,1.8,59027.14,291,1.99,38.08,6.5
HYDROLASE,526,1.6,59027.14,291,2.01,38.86,6.5
HYDROLASE,526,1.7,59027.14,291,1.99,38.08,6.5
HYDROLASE,526,2,58692.86,291,2.01,38.72,6.5
HYDROLASE,131,1.9,14849.76,291,2.57,52.15,6.5
HYDROLASE,306,1.93,34479.4,291,3.36,63.44,6.5
HYDROLASE,244,2.2,28750.86,291,3.08,60.07,6.5
HYDROLASE,1052,2.1,119393.53,291,2.13,42.2,6.5
HYDROLASE,1052,2.15,118196.84,291,2.32,47.04,6.5
HYDROLASE,262,1.7,29414.69,291,1.94,36.45,6.5
HYDROLASE,261,1.8,29310.03,291,1.99,38.16,6.5
HYDROLASE,262,1.6,29480.05,291,1.93,36.29,6.5
HYDROLASE,485,2.2,54215.7,291,2.8,56.08,6.5
HYDROLASE,354,2.6,40968.32,291,3.06,59.81,6.5
HYDROLASE,354,2.42,40999.54,291,3.1,60.34,6.5
HYDROLASE,927,2.35,100907.84,291,2.74,55.07,6.5
HYDROLASE,262,1.9,29476.57,291,1.96,37.11,6.5
HYDROLASE,263,1.6,29590.71,291,2.07,40.54,6.5
HYDROLASE,262,1.63,29515.57,291,1.95,36.77,6.5
HYDROLASE,263,1.7,29640.13,291,2.06,40.3,6.5
HYDROLASE,263,1.6,29609.16,291,2.07,40.51,6.5
HYDROLASE,3024,3,332902.88,291,3.17,61.17,6.5
HYDROLASE,224,2,25020.18,291,1.99,38.12,6.5
HYDROLASE,224,1,25020.18,291,1.99,38.08,6.5
HYDROLASE,224,2.1,25147.27,291,2.02,39.09,6.5
HYDROLASE,491,1.7,57227.92,291,2.12,41.92,6.5
HYDROLASE,378,2.6,42853.18,291,2.95,58.35,6.5
